image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
<CALTECH101_IMAGES_DIR>\accordion\test_01661.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00030517578125,True,,True,,0,37.222478855241874,0.9981260638349163
<CALTECH101_IMAGES_DIR>\accordion\test_01662.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0005645751953125,True,,True,,0,36.034524052989724,0.9988655153816024
<CALTECH101_IMAGES_DIR>\accordion\test_01663.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00018310546875,True,,True,,0,37.22354032785272,0.9983460564658321
<CALTECH101_IMAGES_DIR>\accordion\test_01664.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.001495361328125,True,,True,,0,36.16548049054322,0.9982981171474479
<CALTECH101_IMAGES_DIR>\accordion\test_01665.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0006256103515625,True,,True,,0,36.35407515405817,0.998968471936837
<CALTECH101_IMAGES_DIR>\accordion\train_00960.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0001068115234375,True,,True,,0,37.237604548359215,0.9963431148586281
<CALTECH101_IMAGES_DIR>\accordion\train_00961.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0005340576171875,True,,True,,0,37.37529956147675,0.9984302735185778
<CALTECH101_IMAGES_DIR>\accordion\train_00962.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0006866455078125,True,,True,,0,36.011186755293984,0.9991621728088836
<CALTECH101_IMAGES_DIR>\accordion\train_00963.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00054931640625,True,,True,,0,36.7140338169007,0.9989816487138894
<CALTECH101_IMAGES_DIR>\accordion\train_00964.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000152587890625,True,,True,,0,37.06921277253101,0.9982915367577868
<CALTECH101_IMAGES_DIR>\accordion\train_00965.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0013885498046875,True,,True,,0,35.776192917335734,0.9985721368500664
<CALTECH101_IMAGES_DIR>\accordion\train_00966.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0003204345703125,True,,True,,0,37.09821884797321,0.9984992011976869
<CALTECH101_IMAGES_DIR>\accordion\train_00967.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0004425048828125,True,,True,,0,36.316550517476465,0.9989389268402762
<CALTECH101_IMAGES_DIR>\accordion\train_00968.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0009765625,True,,True,,0,37.28989401796139,0.9984857954262868
<CALTECH101_IMAGES_DIR>\accordion\train_00969.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.004486083984375,True,,True,,0,36.02489734490601,0.998755962998955
<CALTECH101_IMAGES_DIR>\accordion\train_00970.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0006103515625,True,,True,,0,37.009386869817604,0.9991606536268973
<CALTECH101_IMAGES_DIR>\accordion\train_00971.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000946044921875,True,,True,,0,35.85503141706121,0.9982765919384403
<CALTECH101_IMAGES_DIR>\accordion\train_00972.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00048828125,True,,True,,0,36.02056057554397,0.9990049016632804
<CALTECH101_IMAGES_DIR>\accordion\train_00973.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0005950927734375,True,,True,,0,36.820608095236395,0.9984420789925693
<CALTECH101_IMAGES_DIR>\accordion\train_00974.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0014190673828125,True,,True,,0,36.164373556653956,0.9990248782477872
