payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,attack,binning,source_symbols,encoded_symbols,used_token_slots,raw_capacity_bits,recovered_symbols,exact_symbols,token_match_rate,value_match_rate,exact_recovery,failure,capacity_exhausted
8,20,4,1,0.5,2,clean,projection,5,8,256,256,8,8,1.0,1.0,True,,False
8,20,4,1,0.5,2,jpeg85,projection,5,8,256,256,8,8,0.998047,1.0,True,,False
8,20,4,1,0.5,2,resize075,projection,5,8,256,256,8,8,0.958984,1.0,True,,False
8,20,4,1,0.5,2,blur1,projection,5,8,256,256,8,8,0.871094,1.0,True,,False
8,20,4,1,0.5,2,noise002,projection,5,8,256,256,8,8,1.0,1.0,True,,False
8,20,4,1,0.5,4,clean,projection,5,8,256,256,8,8,1.0,1.0,True,,False
8,20,4,1,0.5,4,jpeg85,projection,5,8,256,256,8,8,0.999023,1.0,True,,False
8,20,4,1,0.5,4,resize075,projection,5,8,256,256,8,8,0.958008,1.0,True,,False
8,20,4,1,0.5,4,blur1,projection,5,8,256,256,8,8,0.87793,1.0,True,,False
8,20,4,1,0.5,4,noise002,projection,5,8,256,256,8,8,1.0,1.0,True,,False
8,20,4,1,0.5,8,clean,projection,5,8,256,256,8,8,1.0,1.0,True,,False
8,20,4,1,0.5,8,jpeg85,projection,5,8,256,256,8,8,0.999512,1.0,True,,False
8,20,4,1,0.5,8,resize075,projection,5,8,256,256,8,8,0.951172,1.0,True,,False
8,20,4,1,0.5,8,blur1,projection,5,8,256,256,8,8,0.872559,1.0,True,,False
8,20,4,1,0.5,8,noise002,projection,5,8,256,256,8,8,1.0,1.0,True,,False
8,20,4,1,0.5,12,clean,projection,5,8,256,256,8,8,1.0,1.0,True,,False
8,20,4,1,0.5,12,jpeg85,projection,5,8,256,256,8,8,0.999674,1.0,True,,False
8,20,4,1,0.5,12,resize075,projection,5,8,256,256,8,8,0.955729,1.0,True,,False
8,20,4,1,0.5,12,blur1,projection,5,8,256,256,8,8,0.876953,1.0,True,,False
8,20,4,1,0.5,12,noise002,projection,5,8,256,256,8,8,1.0,1.0,True,,False
8,20,4,1,0.8,2,clean,projection,5,9,288,288,9,9,1.0,1.0,True,,False
8,20,4,1,0.8,2,jpeg85,projection,5,9,288,288,9,9,0.998047,1.0,True,,False
8,20,4,1,0.8,2,resize075,projection,5,9,288,288,9,9,0.964844,1.0,True,,False
8,20,4,1,0.8,2,blur1,projection,5,9,288,288,9,9,0.871094,1.0,True,,False
8,20,4,1,0.8,2,noise002,projection,5,9,288,288,9,9,1.0,1.0,True,,False
8,20,4,1,0.8,4,clean,projection,5,9,288,288,9,9,1.0,1.0,True,,False
8,20,4,1,0.8,4,jpeg85,projection,5,9,288,288,9,9,0.999023,1.0,True,,False
8,20,4,1,0.8,4,resize075,projection,5,9,288,288,9,9,0.960938,1.0,True,,False
8,20,4,1,0.8,4,blur1,projection,5,9,288,288,9,9,0.87793,1.0,True,,False
8,20,4,1,0.8,4,noise002,projection,5,9,288,288,9,9,1.0,1.0,True,,False
8,20,4,1,0.8,8,clean,projection,5,9,288,288,9,9,1.0,1.0,True,,False
8,20,4,1,0.8,8,jpeg85,projection,5,9,288,288,9,9,0.999512,1.0,True,,False
8,20,4,1,0.8,8,resize075,projection,5,9,288,288,9,9,0.952637,1.0,True,,False
8,20,4,1,0.8,8,blur1,projection,5,9,288,288,9,9,0.872559,1.0,True,,False
8,20,4,1,0.8,8,noise002,projection,5,9,288,288,9,9,1.0,1.0,True,,False
8,20,4,1,0.8,12,clean,projection,5,9,288,288,9,9,1.0,1.0,True,,False
8,20,4,1,0.8,12,jpeg85,projection,5,9,288,288,9,9,0.999674,1.0,True,,False
8,20,4,1,0.8,12,resize075,projection,5,9,288,288,9,9,0.956706,1.0,True,,False
8,20,4,1,0.8,12,blur1,projection,5,9,288,288,9,9,0.876953,1.0,True,,False
8,20,4,1,0.8,12,noise002,projection,5,9,288,288,9,9,1.0,1.0,True,,False
8,20,4,1,1.2,2,clean,projection,5,11,352,352,11,11,1.0,1.0,True,,False
8,20,4,1,1.2,2,jpeg85,projection,5,11,352,352,11,11,0.998047,1.0,True,,False
8,20,4,1,1.2,2,resize075,projection,5,11,352,352,11,11,0.964844,1.0,True,,False
8,20,4,1,1.2,2,blur1,projection,5,11,352,352,11,11,0.869141,1.0,True,,False
8,20,4,1,1.2,2,noise002,projection,5,11,352,352,11,11,1.0,1.0,True,,False
8,20,4,1,1.2,4,clean,projection,5,11,352,352,11,11,1.0,1.0,True,,False
8,20,4,1,1.2,4,jpeg85,projection,5,11,352,352,11,11,0.999023,1.0,True,,False
8,20,4,1,1.2,4,resize075,projection,5,11,352,352,11,11,0.960938,1.0,True,,False
8,20,4,1,1.2,4,blur1,projection,5,11,352,352,11,11,0.876953,1.0,True,,False
8,20,4,1,1.2,4,noise002,projection,5,11,352,352,11,11,1.0,1.0,True,,False
8,20,4,1,1.2,8,clean,projection,5,11,352,352,11,11,1.0,1.0,True,,False
8,20,4,1,1.2,8,jpeg85,projection,5,11,352,352,11,11,0.999512,1.0,True,,False
8,20,4,1,1.2,8,resize075,projection,5,11,352,352,11,11,0.952637,1.0,True,,False
8,20,4,1,1.2,8,blur1,projection,5,11,352,352,11,11,0.87207,1.0,True,,False
8,20,4,1,1.2,8,noise002,projection,5,11,352,352,11,11,1.0,1.0,True,,False
8,20,4,1,1.2,12,clean,projection,5,11,352,352,11,11,1.0,1.0,True,,False
8,20,4,1,1.2,12,jpeg85,projection,5,11,352,352,11,11,0.999674,1.0,True,,False
8,20,4,1,1.2,12,resize075,projection,5,11,352,352,11,11,0.956706,1.0,True,,False
8,20,4,1,1.2,12,blur1,projection,5,11,352,352,11,11,0.876628,1.0,True,,False
8,20,4,1,1.2,12,noise002,projection,5,11,352,352,11,11,1.0,1.0,True,,False
8,20,4,2,0.5,2,clean,projection,5,8,128,256,8,8,1.0,1.0,True,,False
8,20,4,2,0.5,2,jpeg85,projection,5,8,128,256,8,8,0.998047,1.0,True,,False
8,20,4,2,0.5,2,resize075,projection,5,8,128,256,8,8,0.957031,1.0,True,,False
8,20,4,2,0.5,2,blur1,projection,5,8,128,256,8,8,0.873047,1.0,True,,False
8,20,4,2,0.5,2,noise002,projection,5,8,128,256,8,8,1.0,1.0,True,,False
8,20,4,2,0.5,4,clean,projection,5,8,128,256,8,8,1.0,1.0,True,,False
