image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
<COCO_VAL2017_DIR>\000000001818.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0013885498046875,True,,True,,0,37.08302080221533,0.9992627504233477
<COCO_VAL2017_DIR>\000000001993.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0003509521484375,True,,True,,0,37.447163292930924,0.9989249200823217
<COCO_VAL2017_DIR>\000000002006.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0056915283203125,True,,True,,0,37.31019532285636,0.998167799060932
<COCO_VAL2017_DIR>\000000002149.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000244140625,True,,True,,0,37.54113738577396,0.9987124267707838
<COCO_VAL2017_DIR>\000000002153.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0040130615234375,True,,True,,0,37.85731624223703,0.9965195258522047
<COCO_VAL2017_DIR>\000000002157.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0025482177734375,True,,True,,0,37.245296860388684,0.9984955052448659
<COCO_VAL2017_DIR>\000000002261.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.002410888671875,True,,True,,0,37.01746876407755,0.9972531458900555
<COCO_VAL2017_DIR>\000000002299.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0004119873046875,True,,True,,0,38.13430507885237,0.9992475628694795
<COCO_VAL2017_DIR>\000000002431.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0009613037109375,True,,True,,0,38.591346865782285,0.9983877958269901
<COCO_VAL2017_DIR>\000000002473.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.002471923828125,True,,True,,0,36.21240230635544,0.9984214100614178
<COCO_VAL2017_DIR>\000000002532.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.002044677734375,True,,True,,0,37.19940397489085,0.9987653097038762
<COCO_VAL2017_DIR>\000000002587.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0007476806640625,True,,True,,0,38.42659517597568,0.9982244456803278
<COCO_VAL2017_DIR>\000000002592.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0012359619140625,True,,True,,0,35.39791227334024,0.9968557076324962
<COCO_VAL2017_DIR>\000000002685.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0085906982421875,True,,True,,0,36.315859251186744,0.9982466662060606
<COCO_VAL2017_DIR>\000000002923.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.00018310546875,True,,True,,0,38.543043768219746,0.998174999996678
<COCO_VAL2017_DIR>\000000003156.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0009613037109375,True,,True,,0,38.118239700328076,0.9992452591791744
<COCO_VAL2017_DIR>\000000003255.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.004852294921875,True,,True,,0,36.955507808338524,0.9979088188013586
<COCO_VAL2017_DIR>\000000003501.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0008697509765625,True,,True,,0,37.61138689416442,0.9991296097242736
<COCO_VAL2017_DIR>\000000003553.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.000396728515625,True,,True,,0,38.315339181399516,0.9993311875183677
<COCO_VAL2017_DIR>\000000003661.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0008544921875,True,,True,,0,37.627963271895254,0.9983844026798004
<COCO_VAL2017_DIR>\000000003845.jpg,0,clean,0.25,0.25,0.185546875,6080,6080,64,32,7,0.0045318603515625,True,,True,,0,36.42874118681244,0.9985930684223651
