image,trial,attack,payload_bpp_requested,nominal_bpp_used,effective_user_bpp,payload_bytes,max_payload_bytes,ecc_bytes,rs_chunks,packet_seed,raw_bit_ber,hard_exact,hard_error,erasure_exact,erasure_error,max_erasures_per_chunk,psnr_db,global_ssim
<COCO_VAL2017_DIR>\000000001818.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.001373291015625,True,,True,,0,37.08368031226389,0.9992628543270503
<COCO_VAL2017_DIR>\000000001818.jpg,0,jpeg95,0.25,0.25,0.123046875,4032,4032,128,32,7,0.44189453125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.08368031226389,0.9992628543270503
<COCO_VAL2017_DIR>\000000001818.jpg,0,jpeg90,0.25,0.25,0.123046875,4032,4032,128,32,7,0.49432373046875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.08368031226389,0.9992628543270503
<COCO_VAL2017_DIR>\000000001818.jpg,0,jpeg80,0.25,0.25,0.123046875,4032,4032,128,32,7,0.4966278076171875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.08368031226389,0.9992628543270503
<COCO_VAL2017_DIR>\000000001818.jpg,0,blur1,0.25,0.25,0.123046875,4032,4032,128,32,7,0.39923095703125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.08368031226389,0.9992628543270503
<COCO_VAL2017_DIR>\000000001818.jpg,0,resize0.75,0.25,0.25,0.123046875,4032,4032,128,32,7,0.2091522216796875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.08368031226389,0.9992628543270503
<COCO_VAL2017_DIR>\000000001993.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.0006866455078125,True,,True,,0,37.464652275744434,0.9989293880201964
<COCO_VAL2017_DIR>\000000001993.jpg,0,jpeg95,0.25,0.25,0.123046875,4032,4032,128,32,7,0.4454803466796875,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.464652275744434,0.9989293880201964
<COCO_VAL2017_DIR>\000000001993.jpg,0,jpeg90,0.25,0.25,0.123046875,4032,4032,128,32,7,0.4957122802734375,False,bad magic: b'\x00\x00\x00\x00',False,bad magic: b'\x00\x00\x00\x00',0,37.464652275744434,0.9989293880201964
<COCO_VAL2017_DIR>\000000001993.jpg,0,jpeg80,0.25,0.25,0.123046875,4032,4032,128,32,7,0.4984588623046875,False,bad magic: b'\x00\x00\x00\x00',False,bad magic: b'\x00\x00\x00\x00',0,37.464652275744434,0.9989293880201964
<COCO_VAL2017_DIR>\000000001993.jpg,0,blur1,0.25,0.25,0.123046875,4032,4032,128,32,7,0.3678741455078125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.464652275744434,0.9989293880201964
<COCO_VAL2017_DIR>\000000001993.jpg,0,resize0.75,0.25,0.25,0.123046875,4032,4032,128,32,7,0.19635009765625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.464652275744434,0.9989293880201964
<COCO_VAL2017_DIR>\000000002006.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,0.005126953125,True,,True,,0,37.3315947534688,0.9981770414577166
<COCO_VAL2017_DIR>\000000002006.jpg,0,jpeg95,0.25,0.25,0.123046875,4032,4032,128,32,7,0.4400634765625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.3315947534688,0.9981770414577166
<COCO_VAL2017_DIR>\000000002006.jpg,0,jpeg90,0.25,0.25,0.123046875,4032,4032,128,32,7,0.4844970703125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.3315947534688,0.9981770414577166
<COCO_VAL2017_DIR>\000000002006.jpg,0,jpeg80,0.25,0.25,0.123046875,4032,4032,128,32,7,0.490692138671875,False,RS decode failed in chunk 1: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 1: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.3315947534688,0.9981770414577166
<COCO_VAL2017_DIR>\000000002006.jpg,0,blur1,0.25,0.25,0.123046875,4032,4032,128,32,7,0.390045166015625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.3315947534688,0.9981770414577166
<COCO_VAL2017_DIR>\000000002006.jpg,0,resize0.75,0.25,0.25,0.123046875,4032,4032,128,32,7,0.2143402099609375,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.3315947534688,0.9981770414577166
<COCO_VAL2017_DIR>\000000002149.jpg,0,clean,0.25,0.25,0.123046875,4032,4032,128,32,7,9.1552734375e-05,True,,True,,0,37.54058973026502,0.9987122196729558
<COCO_VAL2017_DIR>\000000002149.jpg,0,jpeg95,0.25,0.25,0.123046875,4032,4032,128,32,7,0.48077392578125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.54058973026502,0.9987122196729558
<COCO_VAL2017_DIR>\000000002149.jpg,0,jpeg90,0.25,0.25,0.123046875,4032,4032,128,32,7,0.4978790283203125,False,bad magic: b'\x00\x00\x00\x00',False,bad magic: b'\x00\x00\x00\x00',0,37.54058973026502,0.9987122196729558
<COCO_VAL2017_DIR>\000000002149.jpg,0,jpeg80,0.25,0.25,0.123046875,4032,4032,128,32,7,0.498199462890625,False,bad magic: b'\x00\x00\x00\x00',False,bad magic: b'\x00\x00\x00\x00',0,37.54058973026502,0.9987122196729558
<COCO_VAL2017_DIR>\000000002149.jpg,0,blur1,0.25,0.25,0.123046875,4032,4032,128,32,7,0.4318389892578125,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.54058973026502,0.9987122196729558
<COCO_VAL2017_DIR>\000000002149.jpg,0,resize0.75,0.25,0.25,0.123046875,4032,4032,128,32,7,0.2370758056640625,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,False,RS decode failed in chunk 0: Too many (or few) errors found by Chien Search for the errata locator polynomial!,0,37.54058973026502,0.9987122196729558
